Participant,Age,NineEnd,EndDigit,Happy,Married,Children,Gender,LiveParents,Employed,Meaning
1,60,0,0,2,3,5,2,2,4,1
3,49,9,9,3,3,3,2,2,1,4
4,45,0,5,1,6,0,1,1,1,1
5,49,9,9,1,1,0,2,2,1,1
8,45,0,5,3,1,2,2,2,5,3
9,47,0,7,3,3,0,1,2,7,4
12,58,0,8,2,1,1,1,2,1,2
14,48,0,8,2,1,1,2,2,2,3
16,34,0,4,2,6,0,2,1,1,2
17,46,0,6,1,1,1,2,2,5,3
18,64,0,4,2,1,3,2,2,4,4
19,48,0,8,2,1,3,2,2,2,3
20,63,0,3,1,1,2,1,2,4,2
22,60,0,0,2,1,2,1,2,1,2
23,63,0,3,2,1,1,1,2,4,3
26,30,0,0,1,2,1,2,2,2,1
27,34,0,4,2,2,0,1,2,1,1
34,29,9,9,1,6,0,1,2,1,3
35,28,0,8,2,6,0,1,2,1,2
36,26,0,6,2,6,0,1,1,1,2
37,30,0,0,2,4,2,2,2,7,3
38,54,0,4,2,2,1,1,2,1,3
41,30,0,0,3,6,0,2,2,7,2
43,59,9,9,3,3,0,1,2,1,2
44,35,0,5,1,1,2,2,2,2,4
45,63,0,3,1,1,0,2,2,3,4
47,46,0,6,2,5,0,2,2,4,4
49,39,9,9,2,1,0,1,2,1,2
54,56,0,6,2,1,1,1,2,1,2
55,54,0,4,2,4,1,1,2,1,2
56,57,0,7,2,1,2,1,2,7,3
57,40,0,0,2,2,1,1,2,1,2
58,40,0,0,1,2,2,1,2,3,1
59,55,0,5,2,1,1,1,2,1,2
60,30,0,0,3,6,0,1,2,7,2
61,35,0,5,2,2,1,2,2,2,2
62,40,0,0,2,1,0,2,2,2,2
63,48,0,8,2,3,1,2,2,1,3
65,40,0,0,3,6,0,2,2,7,4
66,26,0,6,2,2,0,2,2,2,2
67,29,9,9,2,2,0,2,2,6,3
70,37,0,7,3,3,1,1,2,3,2
71,63,0,3,2,1,3,2,2,2,2
72,38,0,8,3,6,0,1,1,1,2
73,56,0,6,2,1,2,2,2,1,2
75,27,0,7,2,3,0,1,2,1,4
78,34,0,4,2,4,1,2,2,2,3
79,29,9,9,3,6,0,2,2,6,4
82,62,0,2,2,1,3,2,2,2,2
83,38,0,8,2,6,0,1,2,1,4
85,40,0,0,1,1,3,2,2,2,3
86,55,0,5,3,1,2,2,2,5,1
87,54,0,4,2,1,2,2,2,5,2
