Region,Year,Age,SuicideDeaths,Population,SuicideRate,AgeEnd,NineEnd,DeathsAll,RegionCode
"Midwest",2000,25,103,824436,12.49,5,0,502,4
"Midwest",2000,26,101,790932,12.77,6,0,387,4
"Midwest",2000,27,106,826895,12.82,7,0,428,4
"Midwest",2000,28,107,876475,12.21,8,0,445,4
"Midwest",2000,29,116,934470,12.41,9,9,512,4
"Midwest",2000,30,114,933611,12.21,0,0,444,4
"Midwest",2000,31,111,878194,12.64,1,0,435,4
"Midwest",2000,32,94,871712,10.78,2,0,416,4
"Midwest",2000,33,114,888012,12.84,3,0,452,4
"Midwest",2000,34,111,921252,12.05,4,0,435,4
"Midwest",2000,35,127,994905,12.77,5,0,499,4
"Midwest",2000,36,118,1003745,11.76,6,0,471,4
"Midwest",2000,37,128,1012683,12.64,7,0,579,4
"Midwest",2000,38,148,1032462,14.33,8,0,572,4
"Midwest",2000,39,162,1052482,15.39,9,9,595,4
"Midwest",2000,40,180,1075295,16.74,0,0,599,4
"Midwest",2000,41,164,1031716,15.9,1,0,603,4
"Midwest",2000,42,169,1053393,16.04,2,0,580,4
"Midwest",2000,43,153,1021379,14.98,3,0,557,4
"Midwest",2000,44,159,1000249,15.9,4,0,580,4
"Midwest",2000,45,139,1004798,13.83,5,0,550,4
"Midwest",2000,46,142,948622,14.97,6,0,478,4
"Midwest",2000,47,133,931879,14.27,7,0,489,4
"Midwest",2000,48,128,911818,14.04,8,0,462,4
"Midwest",2000,49,118,870466,13.56,9,9,432,4
"Midwest",2000,50,126,872215,14.45,0,0,407,4
"Midwest",2000,51,98,830657,11.8,1,0,371,4
"Midwest",2000,52,98,847314,11.57,2,0,379,4
"Midwest",2000,53,94,828513,11.35,3,0,350,4
"Midwest",2000,54,67,627920,10.67,4,0,243,4
"Midwest",2000,55,75,634990,11.81,5,0,277,4
"Midwest",2000,56,56,643441,8.7,6,0,243,4
"Midwest",2000,57,82,659038,12.44,7,0,309,4
"Midwest",2000,58,61,588246,10.37,8,0,244,4
"Midwest",2000,59,69,544760,12.67,9,9,245,4
"Midwest",2000,60,48,525994,9.13,0,0,234,4
"Midwest",2000,61,56,513633,10.9,1,0,223,4
"Midwest",2000,62,48,498021,9.64,2,0,223,4
"Midwest",2000,63,41,471525,8.7,3,0,194,4
"Midwest",2000,64,51,467769,10.9,4,0,257,4
"Northeast",2000,25,48,653766,7.34,5,0,267,1
"Northeast",2000,26,55,635601,8.65,6,0,295,1
"Northeast",2000,27,80,673260,11.88,7,0,307,1
"Northeast",2000,28,59,717249,8.23,8,0,315,1
"Northeast",2000,29,63,780178,8.08,9,9,325,1
"Northeast",2000,30,63,806267,7.81,0,0,334,1
"Northeast",2000,31,66,760972,8.67,1,0,333,1
"Northeast",2000,32,78,772675,10.09,2,0,310,1
"Northeast",2000,33,66,788393,8.37,3,0,308,1
"Northeast",2000,34,74,829488,8.92,4,0,343,1
"Northeast",2000,35,94,888413,10.58,5,0,378,1
"Northeast",2000,36,105,880339,11.93,6,0,429,1
"Northeast",2000,37,81,875466,9.25,7,0,368,1
"Northeast",2000,38,103,882714,11.67,8,0,397,1
"Northeast",2000,39,93,898477,10.35,9,9,423,1
"Northeast",2000,40,98,920398,10.65,0,0,432,1
"Northeast",2000,41,96,878434,10.93,1,0,390,1
"Northeast",2000,42,111,888906,12.49,2,0,432,1
"Northeast",2000,43,100,856751,11.67,3,0,412,1
"Northeast",2000,44,91,837984,10.86,4,0,338,1
"Northeast",2000,45,91,842980,10.8,5,0,361,1
"Northeast",2000,46,80,789222,10.14,6,0,332,1
"Northeast",2000,47,106,780888,13.57,7,0,350,1
"Northeast",2000,48,93,755040,12.32,8,0,328,1
"Northeast",2000,49,78,733288,10.64,9,9,312,1
"Northeast",2000,50,71,745759,9.52,0,0,279,1
"Northeast",2000,51,78,709437,10.99,1,0,289,1
"Northeast",2000,52,70,737144,9.5,2,0,255,1
"Northeast",2000,53,87,728763,11.94,3,0,256,1
"Northeast",2000,54,59,560782,10.52,4,0,197,1
"Northeast",2000,55,73,560605,13.02,5,0,220,1
"Northeast",2000,56,49,562560,8.71,6,0,192,1
"Northeast",2000,57,61,583234,10.46,7,0,215,1
"Northeast",2000,58,54,503478,10.73,8,0,178,1
"Northeast",2000,59,49,466140,10.51,9,9,163,1
"Northeast",2000,60,32,457656,6.99,0,0,153,1
"Northeast",2000,61,27,437135,6.18,1,0,140,1
"Northeast",2000,62,43,429221,10.02,2,0,149,1
"Northeast",2000,63,43,405718,10.6,3,0,154,1
"Northeast",2000,64,39,401624,9.71,4,0,132,1
"South",2000,25,178,1357841,13.11,5,0,998,2
"South",2000,26,185,1320061,14.01,6,0,936,2
"South",2000,27,173,1384857,12.49,7,0,962,2
"South",2000,28,190,1453112,13.08,8,0,940,2
"South",2000,29,193,1529369,12.62,9,9,969,2
