Participant,Gender,Time27,Time28,Time29,Time30,Time31,Time37,Time38,Time39,Time40,Time41,SevenEnd,EightEnd,NineEnd,ZeroEnd,OneEnd,RatioWide,OldTime39
1,0,,,,,,206,213,283,176,,206,213,183,176,,1.08,183
2,0,226,211,196,191,188,,,100,,,226,211,196,191,188,1.04,
3,0,,,,,,185,180,287,197,186,185,180,187,197,186,1,187
4,0,,,,,,195,201,289,207,203,195,201,189,207,203,1.07,189
5,0,,,,,,221,216,325,226,236,221,216,225,226,236,1,225
6,0,,,,,,,253,331,248,237,,253,231,248,237,1.06,231
7,0,,256,267,246,274,,,100,,,,256,267,246,274,0.97,
8,0,199,183,180,,,,,100,,,199,183,180,,,1.06,
9,0,219,215,200,,202,,,100,,,219,215,200,,202,1.06,
10,0,,,,,,207,217,308,216,,207,217,208,216,,1.03,208
11,0,,,,,,216,218,316,210,,216,218,216,210,,0.99,216
12,0,,,,,,,235,320,246,,,235,220,246,,1.09,220
13,0,,,,,,312,307,407,296,,312,307,307,296,,0.99,307
14,0,,,,,,189,183,284,178,,189,183,184,178,,1,184
15,0,195,194,169,180,179,,,100,,,195,194,169,180,179,1.11,
16,0,,220,203,205,,,,100,,,,220,203,205,,1.05,
17,0,,,201,203,,,,100,,,,,201,203,,1.01,
18,0,,,,,,,,320,,228,,,220,,228,1.04,220
19,0,,223,223,228,,,,100,,,,223,223,228,,1.01,
20,0,,,,,,,231,349,226,241,,231,249,226,241,0.93,249
21,1,,,,,,193,209,309,195,220,193,209,209,195,220,0.98,209
22,1,227,249,247,216,234,195,178,275,,,227,249,247,216,234,1.07,175
23,1,,218,181,180,178,,,100,,,,218,181,180,178,1.06,
24,1,,,,,,,192,307,195,,,192,207,195,,0.93,207
25,1,,,,,,190,191,288,180,179,190,191,188,180,179,0.98,188
26,1,194,,185,212,,,,100,,,194,,185,212,,1.1,
27,1,,,,,,194,207,283,,,194,207,183,,,1.1,183
28,1,,,,,,,184,296,185,,,184,196,185,,0.94,196
29,1,,,,,,,230,321,205,205,,230,221,205,205,0.97,221
30,1,,,,,,173,186,273,163,157,173,186,173,163,157,0.98,173
31,1,,,,,,172,169,268,165,163,172,169,168,165,163,1,168
32,1,,,,,,175,178,272,178,,175,178,172,178,,1.03,172
33,1,,,,,,,194,283,200,199,,194,183,200,199,1.08,183
34,1,,,,,,196,216,300,197,,196,216,200,197,,1.02,200
35,1,,,,,,,242,352,267,,,242,252,267,,1.01,252
36,1,,,,,,177,176,284,174,,177,176,184,174,,0.95,184
37,1,,274,277,271,230,,,100,,,,274,277,271,230,0.93,
38,1,179,170,169,,,,,100,,,179,170,169,,,1.03,
39,1,190,184,174,175,170,,,100,,,190,184,174,175,170,1.03,
40,1,,,,,,181,175,273,,,181,175,173,,,1.03,173
41,1,,193,178,175,,,,100,,,,193,178,175,,1.03,
42,1,190,197,198,184,177,,,100,,,190,197,198,184,177,0.94,
43,1,,,,,,,173,280,186,,,173,180,186,,1,180
44,1,,,,,,199,192,288,,,199,192,188,,,1.04,188
45,1,178,176,183,,,,,100,,,178,176,183,,,0.97,
46,1,175,177,171,,,,,100,,,175,177,171,,,1.03,
47,1,,,,,,,180,278,176,,,180,178,176,,1,178
48,1,204,198,187,167,,,,100,,,204,198,187,167,,1.01,
49,1,,,,,,202,188,297,189,,202,188,197,189,,0.98,197
50,1,,190,195,190,,,,100,,,,190,195,190,,0.97,
51,1,,,,,,222,199,307,192,,222,199,207,192,,0.99,207
52,1,,,,,,192,180,284,178,,192,180,184,178,,1,184
53,1,,,,,,196,196,294,,,196,196,194,,,1.01,194
54,1,,,,,,194,205,297,,,194,205,197,,,1.01,197
55,1,,,,,,246,209,303,218,,246,209,203,218,,1.11,203
56,1,,,,,,,238,324,224,195,,238,224,224,195,0.98,224
57,1,234,212,205,,,,,100,,,234,212,205,,,1.09,
58,1,206,200,205,,,,,100,,,206,200,205,,,0.99,
59,1,,,,,,217,208,306,215,216,217,208,206,215,216,1.04,206
60,1,226,214,209,,,,,100,,,226,214,209,,,1.05,
61,1,216,212,201,,,,,100,,,216,212,201,,,1.06,
62,1,195,198,201,202,,,,100,,,195,198,201,202,,0.99,
63,1,,,,,,236,216,302,,,236,216,202,,,1.12,202
64,1,202,217,197,,,,,100,,,202,217,197,,,1.06,
65,1,,,,,,189,189,297,,,189,189,197,,,0.96,197
66,1,,,,,,222,218,327,218,,222,218,227,218,,0.97,227
67,1,,,,,,259,262,324,237,,259,262,224,237,,1.13,224
68,1,,,,,,245,243,339,252,254,245,243,239,252,254,1.04,239
69,1,270,186,191,188,183,,,100,,,270,186,191,188,183,1.08,
70,1,,,,,,226,194,286,189,,226,194,186,189,,1.09,186
71,1,203,186,207,191,185,,,100,,,203,186,207,191,185,0.92,
72,1,,,,,,,346,456,351,337,,346,356,351,337,0.97,356
73,1,215,203,184,179,,,,100,,,215,203,184,179,,1.08,
74,1,,,,,,185,172,265,172,,185,172,165,172,,1.07,165
75,1,179,173,176,193,,,,100,,,179,173,176,193,,1.03,
