"","Meaning","NineEnd","Age"
"1",4,0,41
"2",4,0,27
"3",4,0,62
"4",,0,27
"5",4,0,64
"6",4,0,47
"7",,0,56
"8",,0,43
"11",4,0,55
"12",4,0,44
"13",4,0,46
"14",4,0,48
"15",4,0,61
"16",4,0,30
"18",4,0,41
"19",4,0,27
"20",4,0,37
"21",4,0,26
"22",4,0,33
"23",4,0,46
"25",1,0,31
"26",4,0,55
"28",,0,32
"29",4,0,60
"30",2,0,41
"31",1,0,60
"32",4,0,58
"35",4,0,44
"36",,0,61
"38",4,0,60
"39",4,0,43
"40",4,0,51
"41",1,0,42
"42",4,0,32
"43",1,0,27
"44",1,0,40
"45",4,0,43
"46",1,0,34
"47",4,0,51
"48",4,0,56
"49",2,0,32
"50",4,0,28
"52",,0,43
"53",4,0,57
"54",4,0,26
"55",,0,28
"58",4,0,60
"59",4,0,43
"61",4,0,42
"65",1,1,59
"66",4,0,27
"69",,0,52
"70",4,0,48
"71",4,0,28
"72",1,0,60
"73",4,0,34
"75",,0,60
"76",1,0,51
"77",2,0,57
"78",4,0,35
"79",4,0,40
"80",2,0,44
"82",4,1,29
"83",,0,25
"85",,0,48
"86",4,0,60
"87",4,0,56
"88",4,0,38
"90",4,0,26
"92",4,0,34
"94",1,0,41
"95",4,0,33
"96",4,0,58
"97",,1,49
"99",4,0,40
"105",1,0,64
"106",4,0,34
"107",,0,53
"108",4,1,49
"109",4,0,27
"110",4,0,51
"111",,0,40
"112",1,1,49
"113",,0,60
"114",4,1,59
"116",,0,26
"117",4,0,33
"118",1,0,61
"119",,0,40
"120",4,0,26
"121",4,0,32
"122",1,0,56
"123",4,0,56
"124",4,0,45
"126",4,0,53
"128",4,0,54
"129",4,0,47
"130",2,0,25
"131",,0,51
"132",4,0,57
"133",,0,62
"134",4,0,26
"135",4,0,33
"136",4,0,37
"139",4,0,60
"140",,0,34
"141",,0,30
"142",2,0,52
"143",4,0,48
"144",4,0,46
"145",4,0,50
"147",2,0,45
"149",,0,25
"151",2,0,26
"152",4,0,52
"153",4,0,53
